en
S,en,USA,ru,???
S,en,Canada,ru,??????
S,en,Albania,ru,???????
S,en,Andorra,ru,???????
S,en,Azerbaijan,ru,???????????
S,en,Austria,ru,???????
S,en,Byelorussia,ru,??????????
S,en,Belgium,ru,???????
S,en,Bulgaria,ru,????????
S,en,Croatia,ru,????????
S,en,Denmark,ru,?????
S,en,Estonia,ru,???????
S,en,Finland,ru,?????????
S,en,France,ru,???????
S,en,Germany,ru,????????
S,en,Russian Federation,ru,??????
S,en,Georgia,ru,??????
S,en,Greece,ru,??????
S,en,Hungary,ru,???????
S,en,Iceland,ru,????????
S,en,Italy,ru,??????
S,en,Latvia,ru,??????
S,en,Liechtenstein,ru,???????????
S,en,Lithuania,ru,?????
S,en,Luxembourg,ru,??????????
S,en,Macedonia,ru,?????????
S,en,Malta,ru,??????
S,en,Moldavia,ru,????????
S,en,Monaco,ru,??????
S,en,Netherlands,ru,??????????
S,en,Norway,ru,????????
S,en,Poland,ru,??????
S,en,Portugal,ru,??????????
S,en,Romania,ru,???????
S,en,Slovakia,ru,????????
S,en,Slovenia,ru,????????
S,en,Ireland,ru,????????
S,en,Spain,ru,???????
S,en,Sweden,ru,??????
S,en,Switzerland,ru,?????????
S,en,UK,ru,??????????????
S,en,Vatican City,ru,???????
S,en,Yugoslavia,ru,?????????
S,en,Bosnia-Herzegovina,ru,?????? ? ???????????
S,en,Czech Republic,ru,??????? ??????????
S,en,Mexico,ru,???????
S,en,Ukraine,ru,???????
S,en,Kazakhstan,ru,?????????
S,en,Turkmenistan,ru,????????????
S,en,Israel,ru,???????
S,en,Armenia,ru,???????
S,en,Tadjikistan,ru,???????????
S,en,Uzbekistan,ru,??????????
S,en,Australia,ru,?????????
S,en,Angola,ru,??????
S,en,New Zealand,ru,????? ????????
